Page Name,Page category,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total Non-Like,Love_1,Care_2,Wow_3,Haha_4,Sad_5,Angry_6,Slightly Negative Avg,Weighted Sligtly negative,Slightly Negative Percentage,Mostly Negative Percentage,Mostly negative average,Weighted mostly Negative,Negative,Positive percentage,Positive AVG,Positive,Sentiment Index,Total Interactions,Overperforming Score,Type,Link,Content,Message,Post Created
Kementerian Pendidikan dan Kebudayaan RI,Official Page,766,209,234,12,0,2,2,0,3,19,1200%,300%,0%,200%,200%,0%,1,1.5,200%,400%,100%,2.25,4,1500.00%,750%,18.75,1.47,328,-1450,Photo,https://www.facebook.com/119573194818796/posts/2719274504848639,UN 2020 ditiadakan,"#SahabatDikbud, menurut Surat Edaran nomor 4 tahun 2020 tentang Pelaksanaan Kebijakan Pendidikan dalam Masa Darurat Penyebaran Corona Virus Disease (Covid-19), terdapat empat kebijakan yang #SahabatDikbud perlu ketahui. 
Keempat kebijakan tersebut yaitu mengenai Ujian Nasional (UN), Ujian Sekolah (US), Belajar dari Rumah dan Penerimaan Peserta Didik Baru (PPDB).
Yuk, #SahabatDikbud simak informasi selengkapnya pada gambar! ðŸ˜ŠðŸ‘
#MerdekaBelajar #RabuMaju #CerdasBerliterasi #CerdasBerbudaya #CerdasBerkarakter",2020-03-25 18:00:00 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,748,39,381,13,0,0,1,0,0,14,1300%,0%,0%,0%,100%,0%,0,0,100%,100%,0%,0,0,1300.00%,650%,16.25,1.80,151,7620,Link,https://www.facebook.com/119573194818796/posts/2723955604380529,UN 2020 ditiadakan,"#SahabatDikbud, Menteri Pendidikan dan Kebudayaan (Mendikbud) Nadiem Makarim, secara resmi menyampaikan pembatalan Ujian Nasional (UN) tahun pelajaran 2019/2020. Peniadaan UN berlaku untuk satuan pendidikan jenjang SMP/sederajat dan SMA/SMK/sederajat di Indonesia dengan mempertimbangkan keamanan dan kesehatan peserta didik di tengah pandemi Covid-19. Ketetapan ini tertuang dalam Surat Edaran Mendikbud Nomor 4 Tahun 2020 tentang Pelaksanaan Kebijakan Pendidikan dalam Masa Darurat Penyebaran Coronavirus Disease.Mendikbud menyebutkan, dalam masa darurat penyebaran Covid-19 syarat penentu kelulusan siswa bisa dengan mengadakan ujian sekolah (US), dengan syarat US tidak mengumpulkan siswa secara fisik atau US bisa dilakukan secara daring. Jika sekolah tidak siap mengadakan US daring, US dilakukan dalam bentuk portofolio nilai rapor dan prestasi yang diperoleh sebelumnya, penugasan, dan/atau bentuk asesmen jarak jauh lainnya.Selengkapnya di https://www.kemdikbud.go.id/.../un-2020-dibatalkan-ini...#MerdekaBelajar #UN2020",2020-03-28 09:00:34 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,725,54,455,16,0,0,0,0,2,18,1600%,200%,0%,0%,0%,0%,0,0,0%,0%,0%,0,0,1800.00%,900%,22.5,2.00,276,2480,Photo,https://www.facebook.com/119573194818796/posts/3176191852490233,Kouta internet gratis,"#SahabatDikbud , proses entri data dan verval tetap bisa dilanjutkan bagi sekolah yang terkendala walau melewati tenggat, sehingga seluruh pendidik dan peserta didik mendapat hak yang sama dari program ini.Koordinasi dengan pihak terkait terus dilaksanakan secara intensif untuk menyempurnakan mekanisme penyaluran data ini.#MerdekaBelajar #VerifikasidanValidasi",2020-12-16 06:39:01 EST
Portal Berita.com,Portal Berita,692,18,859,9,8,0,0,0,0,17,900%,0%,800%,0%,0%,0%,4,6,800%,0%,0%,0,6,900.00%,450%,11.25,1.04,41.3,-4830,Native Video,https://www.facebook.com/119573194818796/posts/2758693180906771,Belajar di rumah,"#SahabatDikbud, Kementerian Pendidikan dan Kebudayaan terus mendukung pembelajaran jarak jauh dan memajukan budaya Indonesia di masa pandemi korona. Yuk, #SahabatDikbud saksikan program #BelajardariRumah setiap Senin-Minggu untuk semua jenjang pendidikan, guru, dan orang tua hanya di @tvrinasional! Video : @tvrinasional#MerdekaBelajar #BelajardariRumah #BersamaHadapiKorona#UnggahUlang @tvrinasional",2020-04-12 22:11:07 EDT
Metro,Portal Berita,686,320,187,7,10,32,14,3,0,66,700%,0%,1000%,3200%,1400%,300%,21,31.5,2400%,4900%,1750%,39.375,75.25,700.00%,350%,8.75,0.59,236,2260,Native Video,https://www.facebook.com/156483584365269/posts/3506733922673535,UN 2021 ditiadakan,"Imbas Covid-19, Ujian Nasional 2020 DitiadakanMendikbud Nadiem Makarim memutuskan untuk meniadakan pelaksanaan Ujian Nasional (UN) 2020. Keputusan ini merupakan bagian dari penyelamatan kesehatan rakyat dalam menghadapi covid-19. Ditiadakannya UN juga bagian dari penerapan social distancing.#metrotv #viruscorona #indonesiamelawancorona #indonesiamelawancovid19 #covid19 #pandemicorona #coronapandemi #ujiannasional #ujiannasional2020 #un #un2020",2021-03-24 22:37:53 EST
TV One,Portal Berita,682,320,178,7,10,32,14,3,0,66,700%,0%,1000%,3200%,1400%,300%,21,31.5,2400%,4900%,1750%,39.375,75.25,700.00%,350%,8.75,0.59,35.2,604,Link,https://www.facebook.com/284251334961090/posts/4091257030927149,UN 2021 ditiadakan,"Menteri Pendidikan dan Kebudayaan Republik Indonesia telah mengeluarkan surat edaran Nomor 1 Tahun 2021 tentang peniadaan ujian nasional dan ujian kesetaraan pelaksanaan ujian sekolah dalam masa darurat penyebaran corona virus disease (COVID-19). Surat itu ditandatangani oleh Mendikbud Nadiem Anwar Makarim pada 1 Februari 2021 di Jakarta.Dalam isi surat edaran itu disebutkan, berkenaan dengan penyebaran COVID-19 yang semakin meningkat, maka perlu dilakukan langkah responsif yang mengutamakan keselamatan dan kesehatan lahir dan batin peserta didik, pendidik, dan tenaga kependidikan.Dengan ditiadakannya UN dan ujian kesetaraan tahun 2021 sebagaimana dimaksud pada angka 1, maka UN dan ujian kesetaraan tidak menjadi syarat kelulusan atau seleksi masuk ke jenjang pendidikan yang lebih lebih tinggi.""Sehubungan hal tersebut, bersamaan dengan itu Ujian Nasional dan ujian kesetaraan tahun 2021 ditiadakan,"" bunyi surat edaran tersebut.1. Menyelesaikaan Program pembelajaran di masa pandemi COVID-19 yang dibuktikan dengan rapor tiap semester.2. Memperoleh nilai sikap atau prilaku minimal baik.Baca selengkapnya di viva.co.idSumber: @vivacoid------------------#NewsOne #UNDitiadakan #UN2021 #SyaratKelulusan #Mendikbud #NadiemMakarim",2021-02-04 22:37:53 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,679,82,510,9,0,2,1,0,1,13,900%,100%,0%,200%,100%,0%,1,1.5,100%,300%,100%,2.25,4,1000.00%,500%,12.5,1.44,69.9,3500,Photo,https://www.facebook.com/119573194818796/posts/3070054819770604,Belajar di rumah,"#SahabatDikbud, sudah membaca Surat Keputusan Bersama (SKB) empat menteri tentang perubahan atas SKB tentang Paduan Penyelengaraan Pembelajaran di masa pandemi Covid-19?Yuk, baca selengkapnya dan unduh pada laman berikut https://www.kemdikbud.go.id/.../skb-empat-menteri-tentang... ! #MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru #BangkituntukIndonesiaMaju",2020-08-12 09:35:00 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,671,24,519,13,0,0,0,0,3,16,1300%,300%,0%,0%,0%,0%,0,0,0%,0%,0%,0,0,1600.00%,800%,20,2.00,270,-1510,Native Video,https://www.facebook.com/119573194818796/posts/2912697818839639,"Pembelajaran tatap muka untuk, zona hijau","#SahabatDikbud, Mendikbud Nadiem Makarim menjelaskan sebesar 94% dari peserta didik tidak diperkenankan untuk melakukan pembelajaran tatap muka, jadi masih belajar dari rumah. Sedangkan sebesar 6% peserta didik di zona hijau diperbolehkan untuk melakukan pembelajaran tatap muka dengan protokol kesehatan yang ketat, jelas Mendikbud dalam pengumuman keputusan bersama ""Panduan Penyelenggaraan Pembelajaran pada Tahun Ajaran dan Tahun Akademik Baru di Masa Pandemi Covid-19"" secara daring, pada Senin (15/6/2020).Yuk, simak penjelasan selengkapnya pada YouTube KEMENDIKBUD RI! Untuk Panduan Penyelenggaraan Pembelajaran pada Tahun Ajaran dan Tahun Akademik Baru di Masa Covid-19, dapat diunduh di laman kemdikbud.go.id atau klik tautan pada bio! #MerdekaBelajar #TahunAjaran2020 #TahunAkademikBaru2020",2020-11-21 22:00:05 EST
Tribun News,Portal Berita,659,372,126,7,5,14,6,1,3,36,700%,300%,500%,1400%,600%,100%,9.5,14.25,1100%,2100%,750%,16.875,33,1000.00%,500%,12.5,0.74,34,6130,Link,https://www.facebook.com/357595679961/posts/10159226848139962,UN 2021 ditiadakan,"UJIAN NASIONAL 2021 DITIADAKAN, MENDIKBUD KELUARKAN SURAT EDARANUjian akan dilaksanakan dalam bentuk seperti Portofolio berupa evaluasi atas nilai rapor..",2021-02-04 07:45:23 EST
Tribun News,Portal Berita,659,373,133,7,5,14,6,1,3,36,700%,300%,500%,1400%,600%,100%,9.5,14.25,1100%,2100%,750%,16.875,33,1000.00%,500%,12.5,0.74,222,733,Link,https://www.facebook.com/357595679961/posts/10159226848139962,UN 2021 ditiadakan,"UJIAN NASIONAL 2021 DITIADAKAN, MENDIKBUD KELUARKAN SURAT EDARANUjian akan dilaksanakan dalam bentuk seperti Portofolio berupa evaluasi atas nilai rapor..",2021-02-04 07:45:23 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,655,87,199,13,0,0,1,0,0,14,1300%,0%,0%,0%,100%,0%,0,0,100%,100%,0%,0,0,1300.00%,650%,16.25,1.80,69.9,-289,Photo,https://www.facebook.com/119573194818796/posts/2939201166189304,"Pembelajaran tatap muka untuk, zona hijau","#SahabatDikbud, tahun akademik baru 2020/2021 akan segera dimulai pada Agustus 2020 dengan tetap memprioritaskan kesehatan dan keselamatan semua warga satuan Pendidikan tinggi. Untuk daerah yang berada di zona kuning, oranye, dan merah sistem pembelajaran tetap dilanjutkan dengan belajar dari rumah sedangkan untuk zona hijau boleh dilakukan pembelajaran tatap muka dengan tetap mengikuti protokol kesehatan dan persyaratan-persyaratan yang telah ditetapkan.â€œKita tidak boleh kalah (dengan COVID-19). Upayakan pembelajaran yang aman dan memastikan kesehatan untuk kita semua. Konsentrasi kita utama pada kesehatan dan keselamatan siswa, orang tua dan penyelenggara,â€ demikian disampaikan Pelaksana Tugas (Plt.) Direktur Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan (Kemendikbud) Nizam, pada acara temu media Bincang Sore secara virtual di Jakarta, pada Rabu (24/6/2020).Baca selengkapnya di https://www.kemdikbud.go.id/.../pembelajaran-pendidikan...#MerdekaBelajar #BersamaHadapiKorona",2020-06-26 02:17:00 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,654,109,396,9,1,0,1,1,2,14,900%,200%,100%,0%,100%,100%,0.5,0.75,200%,200%,50%,1.125,2,1100.00%,550%,13.75,1.48,242,4150,Native Video,https://www.facebook.com/119573194818796/posts/3452624834846932,Kouta internet gratis,"#SahabatDikbud, di tengah masa pandemi Covid-19, Kemendikbud telah menghadirkan terobosan berupa bantuan subsidi kuota data internet.Hal ini merupakan salah satu solusi untuk meringankan beban ekonomi guru dan keluarga, serta mendukung pembelajaran jarak jauh.Yuk, #SahabatDikbud simak tanggapan beberapa penerima bantuan kuota internet pada video berikut!#MerdekaBelajar #BantuanKuotaKemdikbud#BersamaHadapiKorona",2020-12-26 08:51:51 EDT
detik.com,Portal Berita,621,18,859,9,8,0,0,0,0,17,900%,0%,800%,0%,0%,0%,4,6,800%,0%,0%,0,6,900.00%,450%,11.25,1.04,352,3270,Photo,https://www.facebook.com/374777242078/posts/10159613427917079,UN 2020 ditiadakan,#Foto Siswa SD mengikuti pelajaran tatap muka di teras rumah guru di Tangsel. Hal itu dilakukan karena siswa kesulitan menguasai materi pelajaran saat belajar online. Begini momennya: #BelajarDaring #SekolahFoto: Ari Saputra/detikcom,2020-09-10 22:11:07 EDT
Detik.com,Portal Berita,608,151,227,5,6,15,0,1,0,27,500%,0%,600%,1500%,0%,100%,10.5,15.75,600%,1600%,800%,18,35.75,500.00%,250%,6.25,0.65,30.3,2830,Link,https://www.facebook.com/374777242078/posts/10160207609862079,UN 2021 ditiadakan,Pemerintah memutuskan UN 2021 ditiadakan. Bagaimana penentuan lulus setelah UN 2021 ditiadakan? #UN #UN2021,2021-02-04 01:46:50 EST
kumparan,Portal Berita,583,29,501,10,24,4,6,0,0,44,1000%,0%,2400%,400%,600%,0%,14,21,3000%,1000%,200%,4.5,26,1000.00%,500%,12.5,0.69,272,2670,Link,https://www.facebook.com/1924315711129121/posts/3048881008672580,UN 2020 ditiadakan,"Resmi, Presiden Jokowi memutuskan meniadakan Ujian Nasional (UN) 2020 karena wabah corona. #kumpmaranNews",2020-03-24 01:40:05 EDT
Tv One,Portal Berita,579,20,451,8,1,0,3,0,0,12,800%,0%,100%,0%,300%,0%,0.5,0.75,400%,300%,0%,0,0.75,800.00%,400%,10,1.26,241,867,Photo,https://www.facebook.com/284251334961090/posts/3539406309445560,"Pembelajaran tatap muka untuk, zona hijau","Menteri Pendidikan dan Kebudayaan Nadiem Makarim menegaskan, sekolah-sekolah di daerah yang berstatus zona hijau dan kuning penyebaran COVID-19 tidak dapat serta merta menerapkan kebijakan belajar secara tatap muka di sekolah. ""Satuan pendidikan tidak dapat melakukan pembelajaran tatap muka tanpa adanya persetujuan dari pemerintah daerah/dinas pendidikan dan kebudayaan, kepala sekolah, dan adanya persetujuan orang tua/wali siswa yang tergabung dalam komite sekolah,"" kata Nadiem dalam keterangan tertulis, Sabtu (8/8/2020).Salah satu hal yang utama dari segala persyaratan itu, katanya, ada persetujuan dari orangtua atau wali peserta didik. ""Jika orangtua atau wali siswa tidak setuju, maka peserta didik tetap belajar dari rumah dan tidak dapat dipaksa,"" ujarnya. Pembelajaran tatap muka akan dilakukan secara bertahap dengan syarat 30-50 persen dari standar peserta didik per kelas.Baca berita selengkapnya di Viva.co.idSumber: @vivacoid #NewsOne #NadiemMakarim #Kemendikbud #Sekolah #Pendidikan",2020-08-08 02:33:06 EDT
kumparan,Portal Berita,578,29,494,10,24,4,6,0,0,44,1000%,0%,2400%,400%,600%,0%,14,21,3000%,1000%,200%,4.5,26,1000.00%,500%,12.5,0.69,33.2,3590,Link,https://www.facebook.com/1924315711129121/posts/3048881008672580,UN 2020 ditiadakan,"Resmi, Presiden Jokowi memutuskan meniadakan Ujian Nasional (UN) 2020 karena wabah corona. #kumpmaranNews",2020-03-24 01:40:05 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,560,30,238,7,0,0,0,0,1,8,700%,100%,0%,0%,0%,0%,0,0,0%,0%,0%,0,0,800.00%,400%,10,2.00,275,2160,Photo,https://www.facebook.com/119573194818796/posts/2985926908183396,Belajar di rumah,"#SahabatDikbud,  Pandemi Covid-19 membuat pembelajaran yang sedianya dilakukan secara tatap muka beralih menjadi pembelajaran jarak jauh (PJJ), baik secara dalam jaringan (daring) maupun luar jaringan (luring). Kementerian Pendidikan dan Kebudayaan (Kemendikbud) bersama Kementerian Kesehatan (Kemenkes), Kementerian Dalam Negeri (Kemendagri), Kementerian Agama (Kemenag) telah mengeluarkan Surat Keputusan Bersama (SKB) tentang Panduan Pembelajaran Pada Tahun Ajaran Baru dan Tahun Akademi Baru di Masa Pandemi COVID-19.Menteri Pendidikan dan Kebudayaan (Mendikbud), Nadiem Anwar Makarim, dalam wawancara telekonferensi menyebutkan bahwa terdapat Beberapa kabupaten/kota yang merupakan zona hijau menurut Gugus Tugas Percepatan Penanganan COVID-19 Nasional, dengan demikian dimungkinkan memulai pembelajaran tatap muka dengan persyaratan protokol kesehatan yang ketat. Kendati demikian, prosesnya dilakukan secara bertahap, yakni dimulai dari jenjang SMP dan SMA/SMK terlebih dahulu.Baca selengkapnya di https://www.kemdikbud.go.id/.../mendikbud-kembali...#MerdekaBelajar #BersamaHadapiKorona",2020-07-18 23:30:02 EDT
Kompas.com,Portal Berita,559,328,29,11,6,79,0,4,1,101,1100%,100%,600%,7900%,0%,400%,42.5,63.75,600%,8300%,4150%,93.375,167.5,1200.00%,600%,15,0.60,30.5,1790,Link,https://www.facebook.com/17353926534/posts/10159643379056535,Belajar di rumah,"""Jadi guru itu jangan mengajar dari rumah. Biar siswanya aja yang belajar di rumah tetapi gurunya mestinya ngajar dari sekolah,""",2021-01-27 20:58:03 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,545,102,153,9,0,0,0,0,2,11,900%,200%,0%,0%,0%,0%,0,0,0%,0%,0%,0,0,1100.00%,550%,13.75,2.00,284,3810,Photo,https://www.facebook.com/119573194818796/posts/3191253704317381,Kouta internet gratis,"#SahabatDikbud, Kementerian Pendidikan dan Kebudayaan (Kemendikbud) terbitkan Peraturan Sekretaris Jenderal Nomor 14 Tahun 2020, tentang Petunjuk Teknis Bantuan Kuota Data Internet Tahun 2020. Petunjuk teknis (juknis) ini menjadi pedoman dalam penyaluran bantuan kuota data internet bagi pendidik dan peserta didik sehingga dapat mendukung penerapan pembelajaran jarak jauh selama masa pandemi COVID-19.â€œBantuan kuota data internet diberikan kepada siswa, mahasiswa, pendidik dan guru, serta dosen,â€ jelas Sekretaris Jenderal Kemendikbud Ainun Naâ€™im, di Jakarta, Senin (21/09/2020).Bagi sekolah yang telah mengirimkan Surat Pernyataan Tanggung Jawab Mutlak (SPTJM) untuk program bantuan kuota internet untuk Pembelajaran Jarak Jauh (PJJ) dapat dilakukan pengecekan di laman verifikasi validasi https://vervalponsel.data.kemdikbud.go.id/Baca selengkapnya di https://www.kemdikbud.go.id/.../kemendikbud-terbitkan...#MerdekaBelajar #CerdasBerkarakter",2020-09-21 23:30:12 EDT
Kompas.com,Portal Berita,542,20,451,8,1,0,3,0,0,12,800%,0%,100%,0%,300%,0%,0.5,0.75,400%,300%,0%,0,0.75,800.00%,400%,10,1.26,30.7,-4460,Link,https://www.facebook.com/17353926534/posts/10158665946276535,UN 2020 ditiadakan,Presiden Joko Widodo memutuskan meniadakan ujian nasional ( UN) untuk tahun 2020. Hal itu disampaikan Juru Bicara Presiden Fadjroel Rachman | #Nasional,2020-03-24 02:33:06 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,526,119,158,10,0,1,1,0,2,14,1000%,200%,0%,100%,100%,0%,0.5,0.75,100%,200%,50%,1.125,2,1200.00%,600%,15,1.63,170,7730,Link,https://www.facebook.com/119573194818796/posts/3197425773700174,Kouta internet gratis,"#SahabatDikbud, untuk memudahkan tersedianya informasi bagi guru, siswa, mahasiswa, dan dosen, tentang bantuan kuota data internet 2020, Kementerian Pendidikan dan Kebudayaan telah menyiapkan daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar, yang dapat diakses melalui laman https://kuota-belajar.kemdikbud.go.id/.Kepala Biro Kerja Sama dan Hubungan Masyarakat, Kemendikbud, Evy Mulyani menyatakan bahwa daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar tersebut juga dimaksudkan untuk mengantisipasi kekhawatiran kuota data internet disalahgunakan. Evy menambahkan bahwa daftar tersebut juga memuat aplikasi dan video conference yang utama dan secara umum banyak sekali digunakan dalam Pembelajan Jarak Jauh (PJJ) sehingga diyakini memadai untuk pemenuhan kebutuhan PJJ.Baca selengkapnya di https://www.kemdikbud.go.id/.../kemendikbud-siapkan...#merdekabelajar #belajardarirumah #bersamahadapikorona",2020-09-29 05:30:01 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,518,263,132,10,2,1,0,1,0,14,1000%,0%,200%,100%,0%,100%,1.5,2.25,200%,200%,100%,2.25,4.75,1000.00%,500%,12.5,1.34,225,1580,Link,https://www.facebook.com/119573194818796/posts/3197425773700174,Kouta internet gratis,"#SahabatDikbud, untuk memudahkan tersedianya informasi bagi guru, siswa, mahasiswa, dan dosen, tentang bantuan kuota data internet 2020, Kementerian Pendidikan dan Kebudayaan telah menyiapkan daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar, yang dapat diakses melalui laman https://kuota-belajar.kemdikbud.go.id/.Kepala Biro Kerja Sama dan Hubungan Masyarakat, Kemendikbud, Evy Mulyani menyatakan bahwa daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar tersebut juga dimaksudkan untuk mengantisipasi kekhawatiran kuota data internet disalahgunakan. Evy menambahkan bahwa daftar tersebut juga memuat aplikasi dan video conference yang utama dan secara umum banyak sekali digunakan dalam Pembelajan Jarak Jauh (PJJ) sehingga diyakini memadai untuk pemenuhan kebutuhan PJJ.Baca selengkapnya di https://www.kemdikbud.go.id/.../kemendikbud-siapkan...#merdekabelajar #belajardarirumah #bersamahadapikorona",2020-09-22 23:30:38 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,495,22,89,9,1,1,0,0,0,11,900%,0%,100%,100%,0%,0%,1,1.5,100%,100%,50%,1.125,2.75,900.00%,450%,11.25,1.54,309,-745,Native Video,https://www.facebook.com/119573194818796/posts/2695472663895490,UN 2020 ditiadakan,"#SahabatDikbud, Kementerian Pendidikan dan Kebudayaan tetap menjadwalkan pelaksanaan Ujian Nasional (UN) tahun 2020, dengan memperhatikan protokol kesehatan yang tertuang dalam Surat Edaran Mendikbud Nomor 3 Tahun 2020 tentang tentang Pencegahan Corona Virus Disease (COVID-19) pada satuan pendidikan, dan informasi lainnya dari Kementerian Kesehatan.â€˜â€™Pelaksanaan UN 2020 tetap dilaksanakan sesuai jadwal dengan tetap memperhatikan protokol kesehatan, di antaranya yaitu selama penyelenggaraan ujian warga sekolah dapat menghindari kontak fisik langsung seperti bersalaman dan cium tangan selama dan sesudah ujian,â€ terang Plt. Kepala Badan Penelitian, Pengembangan, dan Perbukuan, Totok Suprayitno, saat kegiatan Bincang Sore Pendidikan dan Kebudayaan di Gedung A lantai 2, Graha 1, Kementerian Pendidikan dan Kebudayaan pada Rabu (11/03).Selengkapnya di https://www.kemdikbud.go.id/.../un-2020-tetap-sesuai...",2020-03-15 21:24:09 EDT
Kementerian Komunikasi dan Informatika RI,Official Page,482,7,29,3,0,0,0,1,2,6,300%,200%,0%,0%,0%,100%,0,0,0%,100%,50%,1.125,1.25,500.00%,250%,6.25,1.56,229,690,Photo,https://www.facebook.com/119573194818796/posts/3058099730966113,"Pembelajaran tatap muka untuk, zona hijau","#SahabatDikbud, salah satu pertimbangan diperbolehkannya pembelajaran tatap muka diperluas hingga zona kuning adalah banyaknya satuan pendidikan di daerah 3T (terdepan, terluar, dan tertinggal) sangat kesulitan untuk melaksanakan Pembelajaran Jarak Jauh (PJJ) karena minimnya akses.Hal ini dapat berdampak negatif terhadap tumbuh kembang dan psikososial anak secara permanen. Saat ini, 88% dari keseluruhan daerah 3T berada di zona kuning dan hijau. Dengan adanya penyesuaian Surat Keputusan Bersama (SKB) Empat Menteri, maka satuan pendidikan yang siap dan ingin melaksanakan pembelajaran tatap muka memiliki opsi untuk melaksanakannya secara bertahap dengan protokol kesehatan yang ketat.Walaupun berada di zona hijau dan kuning, satuan pendidikan tidak dapat melakukan pembelajaran tatap muka tanpa adanya persetujuan (1) Pemda/kanwil, (2) kepala sekolah (setelah sekolah dapat memenuhi protokol kesehatan yang ketat), dan (3) adanya persetujuan komite sekolah.Kemudian walaupun sekolah sudah melakukan pembelajaran tatap muka, persyaratan terakhir adalah adanya persetujuan dari orang tua peserta didik. Jika orang tua tidak setuju maka peserta didik tetap belajar dari rumah dan tidak dapat dipaksa.#MerdekaBelajar #BersamaHadapiKorona #BelajardariRumah #SeruBelajarKebiasaanBaru",2020-08-08:19:00 EST
Kementerian Pendidikan dan Kebudayaan RI,Official Page,475,98,237,12,0,1,0,1,1,15,1200%,100%,0%,100%,0%,100%,0.5,0.75,0%,200%,100%,2.25,3.25,1300.00%,650%,16.25,1.64,302,3210,Link,https://www.facebook.com/119573194818796/posts/3197425773700174,Kouta internet gratis,"#SahabatDikbud, untuk memudahkan tersedianya informasi bagi guru, siswa, mahasiswa, dan dosen, tentang bantuan kuota data internet 2020, Kementerian Pendidikan dan Kebudayaan telah menyiapkan daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar, yang dapat diakses melalui laman https://kuota-belajar.kemdikbud.go.id/.Kepala Biro Kerja Sama dan Hubungan Masyarakat, Kemendikbud, Evy Mulyani menyatakan bahwa daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar tersebut juga dimaksudkan untuk mengantisipasi kekhawatiran kuota data internet disalahgunakan. Evy menambahkan bahwa daftar tersebut juga memuat aplikasi dan video conference yang utama dan secara umum banyak sekali digunakan dalam Pembelajan Jarak Jauh (PJJ) sehingga diyakini memadai untuk pemenuhan kebutuhan PJJ.Baca selengkapnya di https://www.kemdikbud.go.id/.../kemendikbud-siapkan...#merdekabelajar #belajardarirumah #bersamahadapikorona",2020-09-01 00:46:54 EDT
Kementerian Pendidikan dan Kebudayaan RI,Official Page,472,55,33,13,1,2,0,0,0,16,1300%,0%,100%,200%,0%,0%,1.5,2.25,100%,200%,100%,2.25,4.75,1300.00%,650%,16.25,1.52,346,-861,Photo,https://www.facebook.com/119573194818796/posts/2939201166189304,Belajar di rumah,"#SahabatDikbud, tahun akademik baru 2020/2021 akan segera dimulai pada Agustus 2020 dengan tetap memprioritaskan kesehatan dan keselamatan semua warga satuan Pendidikan tinggi. Untuk daerah yang berada di zona kuning, oranye, dan merah sistem pembelajaran tetap dilanjutkan dengan belajar dari rumah sedangkan untuk zona hijau boleh dilakukan pembelajaran tatap muka dengan tetap mengikuti protokol kesehatan dan persyaratan-persyaratan yang telah ditetapkan.â€œKita tidak boleh kalah (dengan COVID-19). Upayakan pembelajaran yang aman dan memastikan kesehatan untuk kita semua. Konsentrasi kita utama pada kesehatan dan keselamatan siswa, orang tua dan penyelenggara,â€ demikian disampaikan Pelaksana Tugas (Plt.) Direktur Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan (Kemendikbud) Nizam, pada acara temu media Bincang Sore secara virtual di Jakarta, pada Rabu (24/6/2020).Baca selengkapnya di https://www.kemdikbud.go.id/.../pembelajaran-pendidikan...#MerdekaBelajar #BersamaHadapiKorona",2020-06-26 08:25:43 EDT
CNN news,Portal Berita,469,6,7,0,0,3,2,0,0,5,0%,0%,0%,300%,200%,0%,1.5,2.25,200%,500%,150%,3.375,6,0.00%,0%,0,0.50,254,4230,Photo,https://www.facebook.com/695605000462574/posts/3559456367410742,Kouta internet gratis,"#CNNIndonesia Kuota internet jadi salah satu hal yang dikeluhkan di tengah metode PJJ. Mendikbud Nadiem Makarim pun menyatakan sudah menyiapkan anggaran sebesar Rp7,2 triliun untuk subsidi kuota internet bagi pelajar dan pengajar. Berikut rinciannya: https://bit.ly/3lxXccD",2020-08-29 05:01:10 EDT
